,name,description,longitude,latitude,category,country
134282,Apsarasas Kangri II,,77.1696217,35.536284,Natural Landmark,India
134283,Aqua Nomad,,93.0073504,12.0184945,Tourist Attraction,India
134284,Aquarium,,92.74684,11.6719,Zoo,India
134285,Aquarium,,75.721254,16.8285453,Museum,India
134286,Aquarium,,77.1470993,8.5335297,Tourist Attraction,India
134287,Aquasail 360 Sailing,,73.84492,15.452024,Tourist Attraction,India
134288,Aradhana Garments,,78.1470455,16.7553454,Tourist Attraction,India
134289,Arakkal Museum,,75.3782972,11.8594498,Museum,India
134290,Arambol Beach Mountain,,73.6988541,15.6928174,Scenic View,India
134291,Arambol Beach Mountain,,73.6994459,15.6933618,Scenic View,India
134292,Arang,,92.6634014,25.0493108,Natural Landmark,India
134293,Government Museum - Madurai,,78.138719,9.9303356,Museum,India
134294,Arattupuzha Velayudha Panikkar monument,,76.4203094,9.2331164,Monument,India
134295,Arch & Buddhist writtings on stone,,77.6015774,34.0964304,Tourist Attraction,India
134296,Arch Falls,,79.8414787,13.5881031,Tourist Attraction,India
134297,Arch of Kanwathirtha,,74.8806233,12.7492762,Castle,India
134298,Arch of Viceroys,,73.9135929,15.5058741,Tourist Attraction,India
134299,Archaelogical Museum,,76.4771928,15.3073908,Museum,India
134300,Archaelogical Museum,,79.9734379,14.4371169,Archaeological Site,India
134301,Archaeological museum,,77.2424545,28.6087534,Museum,India
134302,Archdiocesan Heritage Museum,,72.8572673,19.1681335,Museum,India
134303,Archeological Museum,,73.9108979,15.5030859,Museum,India
134304,Archeological Museum,,93.9423106,24.8115654,Museum,India
134305,"Archeological Museum, Konark",,86.0944779,19.8911414,Museum,India
134306,Archeological Protected Temple,,76.242745,13.0940329,Archaeological Site,India
134307,Archeological Survey of India,,77.2400049,28.6570924,Museum,India
134308,Archer Art Gallery,Finest gallery for modern and contemporary Indian art,72.5517858,23.0416175,Art Gallery,India
134309,Archives at NCBS,,77.5807044,13.0711582,Art Gallery,India
134310,Aremane Gudde,,75.6216446,12.8550548,Natural Landmark,India
134311,Arganglas Kangri,,77.8998137,34.6058124,Natural Landmark,India
134312,Argi,,78.0190724,33.5884334,Natural Landmark,India
134313,Argonri Pahār,,87.5589537,24.9287417,Natural Landmark,India
134314,Arichal Munai,,79.4491322,9.1503827,Monument,India
134315,Ariju - Traditional men's dormitory,,94.5357645,26.3910074,Tourist Attraction,India
134316,Arippa Ecotourism Village,,77.0294612,8.836333,Tourist Attraction,India
134317,Arippara Waterfalls,,76.0465043,11.4381033,Tourist Attraction,India
134318,Ariyannur Stone Umbrellas,,76.0854579,10.6056359,Monument,India
134319,Arjuna,,76.1921274,33.4472253,Natural Landmark,India
134320,Arka Kshetra,,86.0980671,19.8872313,Museum,India
134321,Arkholi Pahar,,82.4298835,20.052938,Natural Landmark,India
134322,Arma Konda,,82.7227576,18.2279841,Natural Landmark,India
134323,Armoury House,,76.6886281,12.4203482,Monument,India
134324,Armoury House,,76.6771174,12.4243742,Monument,India
134325,Arnala Beach,,72.748848,19.4508895,Tourist Attraction,India
134326,Arnos Academy,,76.1667611,10.6411139,Museum,India
134327,Around here is the tailors,,70.9164735,26.9137358,Tourist Attraction,India
134328,Arrlungtsuk,,88.227731,27.463323,Natural Landmark,India
134329,Arson-Visaland ielts & immigration,,74.9845271,30.9731664,Art Gallery,India
134330,Art Gallery,,78.7680766,25.2836037,Art Gallery,India
134331,Arthur hill lake viewpoint,,73.7601832,19.4765099,Scenic View,India
134332,Arthur's Seat,,73.6369016,17.9810913,Scenic View,India
134333,Artisan Bazaar,,77.4711244,34.585333,Tourist Attraction,India
134334,Artist Art,"Jewellery, Silver artefacts, Silver Furniture",73.6712297,24.5793209,Art Gallery,India
134335,Arun raj(POLY BUJI),,76.7790575,8.9117294,Castle,India
134336,Arunachaleshwar,,79.0573363,12.2415011,Natural Landmark,India
134337,Arundhati Guha Cave,,78.4307204,30.1143762,Tourist Attraction,India
134338,Arunjas Penance Model,,80.1922604,12.6151119,Tourist Attraction,India
134339,Arunkula Malai,,77.3910856,10.166475,Natural Landmark,India
134340,Arvind aircon ltd,,72.6506601,22.9642542,Tourist Attraction,India
134341,Arwa Spire,,79.3635825,30.8256687,Natural Landmark,India
134342,Arwa Tower,,79.3768252,30.8402371,Natural Landmark,India
134343,Arwah Cave,,91.7270047,25.3033534,Tourist Attraction,India
134344,Asan Smarakam,,76.7466747,8.6840216,Museum,India
134345,Asdani Adventure,,76.0431838,11.5649843,Tourist Attraction,India
134346,Ash,,73.7063915,15.6786859,Tourist Attraction,India
134347,Ashapura Industrial Estate,,72.6513756,22.968738,Tourist Attraction,India
134348,Ashok Pillar,,80.2121781,13.0348481,Monument,India
134349,Ashok Stambh222,,74.4670854,23.5461214,Monument,India
134350,"Ashok Vihar, Jagatpura",,75.8425582,26.8296105,Scenic View,India
134351,Ashoka Chakra,,79.8362589,11.9358407,Monument,India
134352,Ashoka Pillar,,77.2118819,28.6738428,Monument,India
134353,Ashoka Pillar,,76.9322257,16.8343889,Monument,India
